Signal data for event #10827 with energy 999.1025453310803
<z>	<x>	<t>	<nph>
2	9	11	299.0
3	0	11	472.0
3	1	11	436.0
3	2	11	393.0
3	3	11	403.0
3	4	11	338.0
3	5	11	357.0
3	6	11	340.0
3	7	11	371.0
3	8	11	427.0
3	9	11	462.0
4	0	11	424.0
4	1	11	478.0
4	2	11	418.0
4	3	11	389.0
4	4	11	394.0
4	5	11	396.0
4	6	11	388.0
4	7	11	425.0
4	8	11	430.0
4	9	11	439.0
5	0	11	460.0
5	1	11	416.0
5	2	11	430.0
5	3	11	399.0
5	4	11	443.0
5	5	11	422.0
5	6	11	465.0
5	7	11	452.0
5	8	11	434.0
5	9	11	439.0
6	0	11	939.0
6	1	11	1058.0
6	2	11	1258.0
6	3	11	1369.0
6	4	11	1621.0
6	5	11	1747.0
6	6	11	1857.0
6	7	11	1841.0
6	8	11	1847.0
6	9	11	1808.0
7	0	11	4431.0
7	1	11	4588.0
7	2	11	4583.0
7	3	11	4456.0
7	4	11	4530.0
7	5	11	4873.0
7	6	11	5337.0
7	7	11	5377.0
7	8	11	5489.0
7	9	11	5738.0
8	0	11	5994.0
8	1	11	6572.0
8	2	11	6911.0
8	3	11	7138.0
8	4	11	7040.0
8	5	11	7205.0
8	6	11	6917.0
8	7	11	6584.0
8	8	11	5527.0
8	9	11	4936.0
9	0	11	4563.0
9	1	11	5892.0
9	2	11	7646.0
9	3	11	8101.0
9	4	11	8270.0
9	5	11	7866.0
9	6	11	6365.0
9	7	11	4240.0
9	8	11	2924.0
9	9	11	2408.0
0	0	12	222.0
0	1	12	194.0
0	2	12	215.0
0	3	12	213.0
0	4	12	188.0
0	5	12	202.0
0	6	12	222.0
0	7	12	217.0
0	8	12	235.0
0	9	12	222.0
1	0	12	199.0
1	1	12	193.0
1	2	12	221.0
1	3	12	223.0
1	4	12	220.0
1	5	12	230.0
1	6	12	215.0
1	7	12	202.0
1	8	12	214.0
1	9	12	230.0
2	0	12	245.0
2	1	12	201.0
2	2	12	205.0
2	3	12	205.0
2	4	12	219.0
2	5	12	204.0
2	6	12	199.0
2	7	12	196.0
2	8	12	236.0
2	9	12	237.0
3	0	12	254.0
3	1	12	259.0
3	2	12	248.0
3	3	12	222.0
3	4	12	195.0
3	5	12	213.0
