Signal data for event #14786 with energy 999.3652218749529
<z>	<x>	<t>	<nph>
0	0	7	959.0
0	1	7	1168.0
0	2	7	1016.0
0	3	7	839.0
0	4	7	461.0
0	5	7	190.0
0	6	7	111.0
1	0	7	790.0
1	1	7	938.0
1	2	7	920.0
1	3	7	404.0
1	4	7	132.0
1	5	7	35.0
2	0	7	18.0
2	1	7	237.0
2	2	7	304.0
2	3	7	266.0
2	4	7	36.0
2	5	7	16.0
2	6	7	6.0
3	1	7	282.0
3	2	7	337.0
3	3	7	282.0
0	0	8	841.0
0	1	8	678.0
0	2	8	746.0
0	3	8	581.0
0	4	8	494.0
0	5	8	410.0
0	6	8	277.0
0	7	8	206.0
0	8	8	113.0
0	9	8	94.0
1	0	8	1289.0
1	1	8	1082.0
1	2	8	845.0
1	3	8	915.0
1	4	8	828.0
1	5	8	605.0
1	6	8	303.0
1	7	8	198.0
1	8	8	113.0
1	9	8	36.0
2	0	8	2295.0
2	1	8	2017.0
2	2	8	1591.0
2	3	8	1231.0
2	4	8	977.0
2	5	8	492.0
2	6	8	324.0
2	7	8	176.0
2	8	8	32.0
2	9	8	4.0
3	0	8	2108.0
3	1	8	1805.0
3	2	8	1532.0
3	3	8	885.0
3	4	8	701.0
3	5	8	468.0
3	6	8	228.0
3	7	8	46.0
3	8	8	25.0
3	9	8	1.0
4	0	8	1705.0
4	1	8	1599.0
4	2	8	1240.0
4	3	8	782.0
4	4	8	566.0
4	5	8	276.0
4	6	8	31.0
4	7	8	19.0
5	0	8	1387.0
5	1	8	1324.0
5	2	8	907.0
5	3	8	489.0
5	4	8	337.0
6	0	8	613.0
6	1	8	681.0
6	2	8	613.0
7	2	8	49.0
8	0	8	547.0
8	1	8	1725.0
8	2	8	800.0
8	3	8	763.0
9	1	8	102.0
9	2	8	373.0
9	3	8	570.0
9	4	8	498.0
9	5	8	85.0
0	0	9	219.0
0	1	9	204.0
0	2	9	192.0
0	3	9	174.0
0	4	9	211.0
0	5	9	224.0
0	6	9	187.0
0	7	9	223.0
0	8	9	241.0
0	9	9	194.0
1	0	9	174.0
1	1	9	161.0
1	2	9	178.0
1	3	9	250.0
1	4	9	173.0
1	5	9	177.0
1	6	9	299.0
1	7	9	245.0
1	8	9	211.0
1	9	9	273.0
2	0	9	185.0
2	1	9	172.0
2	2	9	291.0
2	3	9	219.0
2	4	9	245.0
2	5	9	383.0
2	6	9	270.0
2	7	9	242.0
2	8	9	310.0
2	9	9	268.0
3	0	9	346.0
3	1	9	354.0
3	2	9	247.0
3	3	9	509.0
3	4	9	515.0
3	5	9	380.0
3	6	9	378.0
3	7	9	358.0
3	8	9	221.0
3	9	9	254.0
4	0	9	583.0
4	1	9	542.0
4	2	9	598.0
4	3	9	656.0
4	4	9	499.0
4	5	9	447.0
4	6	9	471.0
4	7	9	281.0
4	8	9	173.0
4	9	9	115.0
5	0	9	777.0
5	1	9	701.0
5	2	9	816.0
5	3	9	856.0
5	4	9	565.0
5	5	9	650.0
5	6	9	477.0
5	7	9	184.0
5	8	9	135.0
5	9	9	100.0
6	0	9	1522.0
6	1	9	1311.0
6	2	9	1078.0
6	3	9	1205.0
6	4	9	880.0
6	5	9	585.0
6	6	9	252.0
6	7	9	168.0
6	8	9	69.0
7	0	9	8164.0
7	1	9	7587.0
7	2	9	5978.0
7	3	9	4505.0
7	4	9	3422.0
7	5	9	1952.0
7	6	9	665.0
7	7	9	177.0
7	8	9	7.0
8	0	9	26327.0
8	1	9	24722.0
8	2	9	23717.0
8	3	9	18192.0
8	4	9	11735.0
8	5	9	5815.0
8	6	9	2730.0
8	7	9	1166.0
8	8	9	73.0
8	9	9	21.0
9	0	9	55052.0
9	1	9	57096.0
9	2	9	52567.0
9	3	9	39138.0
9	4	9	25338.0
9	5	9	14048.0
9	6	9	6211.0
9	7	9	1394.0
9	8	9	45.0
9	9	9	34.0
0	0	10	107.0
0	1	10	109.0
0	2	10	112.0
0	3	10	95.0
0	4	10	95.0
0	5	10	104.0
0	6	10	116.0
0	7	10	113.0
0	8	10	113.0
0	9	10	137.0
1	0	10	87.0
1	1	10	91.0
1	2	10	89.0
1	3	10	83.0
1	4	10	114.0
1	5	10	106.0
1	6	10	112.0
1	7	10	133.0
1	8	10	177.0
1	9	10	141.0
2	0	10	39.0
2	1	10	38.0
2	2	10	30.0
2	3	10	77.0
2	4	10	85.0
2	5	10	91.0
2	6	10	137.0
2	7	10	178.0
2	8	10	188.0
2	9	10	203.0
3	0	10	121.0
3	1	10	59.0
3	2	10	117.0
3	3	10	109.0
3	4	10	114.0
3	5	10	123.0
3	6	10	137.0
3	7	10	207.0
3	8	10	259.0
3	9	10	231.0
4	0	10	143.0
4	1	10	140.0
4	2	10	132.0
4	3	10	118.0
4	4	10	108.0
4	5	10	175.0
4	6	10	184.0
4	7	10	243.0
4	8	10	315.0
4	9	10	332.0
5	0	10	150.0
5	1	10	146.0
5	2	10	138.0
5	3	10	124.0
5	4	10	202.0
5	5	10	171.0
5	6	10	156.0
5	7	10	311.0
5	8	10	294.0
5	9	10	275.0
6	0	10	1512.0
6	1	10	1475.0
6	2	10	1421.0
6	3	10	1376.0
6	4	10	1068.0
6	5	10	831.0
6	6	10	872.0
