Signal data for event #4948 with energy 102.69003724741155
<z>	<x>	<t>	<nph>
0	0	8	851.0
0	1	8	812.0
0	2	8	691.0
0	3	8	439.0
0	4	8	249.0
0	5	8	210.0
0	6	8	100.0
1	0	8	758.0
1	1	8	674.0
1	2	8	590.0
1	3	8	429.0
1	4	8	305.0
1	5	8	142.0
2	0	8	680.0
2	1	8	641.0
2	2	8	421.0
2	3	8	162.0
2	4	8	50.0
3	0	8	220.0
3	1	8	137.0
3	2	8	88.0
3	3	8	35.0
4	0	8	8.0
4	1	8	15.0
4	2	8	8.0
7	0	8	153.0
7	1	8	62.0
0	0	9	289.0
0	1	9	281.0
0	2	9	311.0
0	3	9	447.0
0	4	9	489.0
0	5	9	368.0
0	6	9	350.0
0	7	9	365.0
0	8	9	317.0
0	9	9	249.0
1	0	9	446.0
1	1	9	436.0
1	2	9	377.0
1	3	9	416.0
1	4	9	406.0
1	5	9	433.0
1	6	9	449.0
1	7	9	365.0
1	8	9	289.0
1	9	9	198.0
2	0	9	632.0
2	1	9	600.0
2	2	9	698.0
2	3	9	815.0
2	4	9	765.0
2	5	9	648.0
2	6	9	474.0
2	7	9	337.0
2	8	9	228.0
2	9	9	105.0
3	0	9	1117.0
3	1	9	1133.0
3	2	9	1063.0
3	3	9	907.0
3	4	9	773.0
3	5	9	619.0
3	6	9	417.0
3	7	9	267.0
3	8	9	109.0
3	9	9	7.0
4	0	9	1002.0
4	1	9	948.0
4	2	9	809.0
4	3	9	727.0
4	4	9	592.0
4	5	9	317.0
4	6	9	217.0
4	7	9	126.0
4	8	9	16.0
5	0	9	278.0
5	1	9	231.0
5	2	9	175.0
5	3	9	108.0
5	4	9	91.0
5	5	9	68.0
5	6	9	9.0
5	7	9	1.0
6	0	9	23.0
6	1	9	18.0
6	2	9	12.0
6	3	9	8.0
6	4	9	3.0
7	0	9	20.0
7	1	9	43.0
7	2	9	50.0
7	3	9	24.0
7	4	9	12.0
7	5	9	5.0
8	0	9	47.0
8	1	9	36.0
8	2	9	24.0
8	3	9	15.0
8	4	9	8.0
8	5	9	2.0
9	0	9	6.0
9	1	9	5.0
9	2	9	4.0
9	3	9	2.0
0	0	10	463.0
0	1	10	449.0
0	2	10	422.0
0	3	10	419.0
0	4	10	409.0
0	5	10	405.0
0	6	10	428.0
0	7	10	417.0
0	8	10	391.0
0	9	10	410.0
1	0	10	564.0
1	1	10	586.0
1	2	10	596.0
1	3	10	565.0
1	4	10	530.0
1	5	10	497.0
1	6	10	500.0
1	7	10	465.0
1	8	10	397.0
1	9	10	460.0
2	0	10	731.0
2	1	10	716.0
2	2	10	676.0
2	3	10	623.0
2	4	10	567.0
2	5	10	516.0
2	6	10	560.0
2	7	10	553.0
2	8	10	511.0
2	9	10	541.0
3	0	10	871.0
3	1	10	853.0
3	2	10	823.0
3	3	10	810.0
3	4	10	735.0
3	5	10	613.0
3	6	10	592.0
3	7	10	611.0
3	8	10	642.0
3	9	10	680.0
4	0	10	737.0
4	1	10	725.0
4	2	10	760.0
4	3	10	671.0
4	4	10	632.0
4	5	10	685.0
4	6	10	631.0
4	7	10	611.0
4	8	10	607.0
4	9	10	520.0
5	0	10	765.0
5	1	10	781.0
5	2	10	781.0
5	3	10	748.0
5	4	10	643.0
5	5	10	545.0
5	6	10	473.0
5	7	10	390.0
5	8	10	276.0
5	9	10	278.0
6	0	10	354.0
6	1	10	339.0
6	2	10	303.0
6	3	10	276.0
6	4	10	256.0
6	5	10	159.0
6	6	10	126.0
6	7	10	93.0
6	8	10	45.0
6	9	10	38.0
7	0	10	17.0
7	1	10	17.0
7	2	10	17.0
7	3	10	17.0
7	4	10	17.0
7	5	10	7.0
7	6	10	6.0
7	7	10	3.0
7	8	10	3.0
7	9	10	5.0
8	3	10	1.0
8	4	10	3.0
8	5	10	5.0
8	6	10	3.0
8	7	10	2.0
8	8	10	2.0
8	9	10	1.0
9	0	10	2.0
9	1	10	2.0
9	2	10	2.0
9	3	10	3.0
9	4	10	4.0
9	5	10	3.0
9	6	10	1.0
0	0	11	277.0
0	1	11	292.0
0	2	11	324.0
0	3	11	338.0
0	4	11	349.0
0	5	11	375.0
0	6	11	391.0
0	7	11	408.0
0	8	11	418.0
0	9	11	440.0
1	0	11	335.0
1	1	11	348.0
1	2	11	367.0
1	3	11	397.0
1	4	11	421.0
1	5	11	465.0
1	6	11	482.0
1	7	11	513.0
1	8	11	583.0
1	9	11	600.0
2	0	11	239.0
2	1	11	252.0
2	2	11	294.0
2	3	11	340.0
2	4	11	411.0
2	5	11	502.0
2	6	11	519.0
2	7	11	610.0
2	8	11	747.0
2	9	11	776.0
3	0	11	117.0
3	1	11	121.0
3	2	11	143.0
3	3	11	209.0
3	4	11	277.0
3	5	11	387.0
3	6	11	560.0
3	7	11	647.0
3	8	11	726.0
3	9	11	793.0
4	0	11	142.0
4	1	11	136.0
4	2	11	151.0
4	3	11	232.0
4	4	11	291.0
4	5	11	429.0
4	6	11	501.0
4	7	11	551.0
4	8	11	666.0
4	9	11	759.0
5	0	11	145.0
5	1	11	143.0
5	2	11	149.0
5	3	11	192.0
5	4	11	259.0
5	5	11	321.0
5	6	11	444.0
5	7	11	493.0
5	8	11	574.0
5	9	11	616.0
6	0	11	272.0
6	1	11	273.0
6	2	11	289.0
6	3	11	291.0
6	4	11	278.0
6	5	11	340.0
6	6	11	334.0
6	7	11	357.0
6	8	11	431.0
6	9	11	391.0
7	0	11	256.0
7	1	11	251.0
7	2	11	244.0
7	3	11	237.0
7	4	11	200.0
7	5	11	186.0
7	6	11	167.0
7	7	11	134.0
7	8	11	93.0
7	9	11	86.0
8	0	11	43.0
8	1	11	43.0
8	2	11	33.0
8	3	11	27.0
8	4	11	27.0
8	5	11	12.0
8	6	11	12.0
8	7	11	11.0
8	8	11	5.0
8	9	11	5.0
0	0	12	287.0
0	1	12	296.0
0	2	12	299.0
0	3	12	266.0
0	4	12	294.0
0	5	12	327.0
0	6	12	315.0
0	7	12	314.0
0	8	12	315.0
0	9	12	306.0
1	0	12	230.0
1	1	12	223.0
1	2	12	223.0
1	3	12	226.0
1	4	12	249.0
1	5	12	247.0
1	6	12	235.0
1	7	12	237.0
1	8	12	277.0
1	9	12	266.0
2	0	12	219.0
2	1	12	217.0
2	2	12	228.0
2	3	12	239.0
2	4	12	231.0
2	5	12	217.0
2	6	12	203.0
2	7	12	169.0
2	8	12	123.0
2	9	12	163.0
3	0	12	180.0
3	1	12	236.0
3	2	12	232.0
3	3	12	212.0
3	4	12	238.0
3	5	12	237.0
3	6	12	172.0
3	7	12	125.0
3	8	12	107.0
3	9	12	75.0
4	0	12	161.0
4	1	12	170.0
4	2	12	186.0
4	3	12	215.0
4	4	12	226.0
4	5	12	192.0
4	6	12	202.0
4	7	12	158.0
4	8	12	102.0
4	9	12	80.0
5	0	12	113.0
5	1	12	147.0
5	2	12	167.0
5	3	12	194.0
5	4	12	229.0
5	5	12	226.0
5	6	12	176.0
5	7	12	188.0
5	8	12	189.0
5	9	12	118.0
6	0	12	87.0
6	1	12	94.0
6	2	12	129.0
6	3	12	146.0
6	4	12	172.0
6	5	12	207.0
6	6	12	225.0
6	7	12	225.0
6	8	12	185.0
6	9	12	229.0
7	0	12	64.0
7	1	12	69.0
7	2	12	66.0
7	3	12	72.0
7	4	12	112.0
7	5	12	155.0
7	6	12	186.0
7	7	12	217.0
7	8	12	280.0
7	9	12	287.0
8	0	12	107.0
8	1	12	104.0
8	2	12	110.0
8	3	12	115.0
8	4	12	117.0
8	5	12	128.0
8	6	12	122.0
8	7	12	119.0
8	8	12	116.0
8	9	12	116.0
9	0	12	24.0
9	1	12	24.0
9	2	12	24.0
9	3	12	24.0
9	4	12	23.0
9	5	12	19.0
9	6	12	14.0
9	7	12	11.0
9	8	12	9.0
9	9	12	12.0
0	0	13	225.0
0	1	13	204.0
0	2	13	206.0
0	3	13	221.0
0	4	13	193.0
0	5	13	175.0
0	6	13	177.0
0	7	13	179.0
0	8	13	173.0
0	9	13	172.0
1	0	13	222.0
1	1	13	218.0
1	2	13	209.0
1	3	13	179.0
1	4	13	147.0
1	5	13	116.0
1	6	13	106.0
1	7	13	100.0
1	8	13	74.0
1	9	13	62.0
2	0	13	231.0
2	1	13	222.0
2	2	13	184.0
2	3	13	152.0
2	4	13	114.0
2	5	13	87.0
2	6	13	72.0
2	7	13	64.0
2	8	13	45.0
2	9	13	38.0
3	0	13	240.0
3	1	13	185.0
3	2	13	167.0
3	3	13	154.0
3	4	13	99.0
3	5	13	141.0
3	6	13	328.0
3	7	13	115.0
3	8	13	51.0
3	9	13	45.0
4	0	13	203.0
4	1	13	210.0
4	2	13	169.0
4	3	13	106.0
4	4	13	81.0
4	5	13	71.0
4	6	13	56.0
4	7	13	50.0
4	8	13	36.0
4	9	13	37.0
5	0	13	216.0
5	1	13	174.0
5	2	13	147.0
5	3	13	128.0
5	4	13	67.0
5	5	13	48.0
5	6	13	51.0
5	7	13	42.0
5	8	13	42.0
5	9	13	43.0
6	0	13	163.0
6	1	13	154.0
6	2	13	125.0
6	3	13	108.0
6	4	13	93.0
6	5	13	62.0
6	6	13	65.0
6	7	13	62.0
6	8	13	56.0
6	9	13	50.0
7	0	13	104.0
7	1	13	101.0
7	2	13	126.0
7	3	13	126.0
7	4	13	117.0
7	5	13	101.0
7	6	13	99.0
7	7	13	98.0
7	8	13	70.0
7	9	13	69.0
8	0	13	69.0
8	1	13	69.0
8	2	13	81.0
8	3	13	89.0
8	4	13	84.0
8	5	13	97.0
8	6	13	101.0
8	7	13	113.0
8	8	13	126.0
8	9	13	126.0
9	0	13	92.0
9	1	13	96.0
9	2	13	90.0
9	3	13	89.0
9	4	13	87.0
9	5	13	88.0
9	6	13	98.0
9	7	13	113.0
9	8	13	115.0
9	9	13	110.0
0	0	14	117.0
0	1	14	114.0
0	2	14	102.0
0	3	14	99.0
0	4	14	100.0
0	5	14	92.0
0	6	14	83.0
0	7	14	75.0
0	8	14	81.0
0	9	14	68.0
1	0	14	88.0
1	1	14	100.0
1	2	14	101.0
1	3	14	108.0
1	4	14	113.0
1	5	14	127.0
1	6	14	125.0
1	7	14	117.0
1	8	14	110.0
1	9	14	109.0
2	0	14	60.0
2	1	14	58.0
2	2	14	66.0
2	3	14	88.0
2	4	14	109.0
2	5	14	104.0
2	6	14	101.0
2	7	14	94.0
2	8	14	76.0
2	9	14	72.0
3	0	14	53.0
3	1	14	50.0
3	2	14	56.0
3	3	14	65.0
3	4	14	89.0
3	5	14	100.0
3	6	14	90.0
3	7	14	86.0
3	8	14	76.0
3	9	14	57.0
4	0	14	43.0
4	1	14	38.0
4	2	14	62.0
4	3	14	83.0
4	4	14	90.0
4	5	14	92.0
4	6	14	88.0
4	7	14	74.0
4	8	14	56.0
4	9	14	44.0
5	0	14	50.0
5	1	14	64.0
5	2	14	78.0
5	3	14	81.0
5	4	14	93.0
5	5	14	88.0
5	6	14	66.0
5	7	14	53.0
5	8	14	46.0
5	9	14	40.0
6	0	14	77.0
6	1	14	76.0
6	2	14	78.0
6	3	14	77.0
6	4	14	71.0
6	5	14	58.0
6	6	14	48.0
6	7	14	41.0
6	8	14	27.0
6	9	14	31.0
7	0	14	89.0
7	1	14	97.0
7	2	14	82.0
7	3	14	72.0
7	4	14	61.0
7	5	14	53.0
7	6	14	39.0
7	7	14	33.0
7	8	14	34.0
7	9	14	34.0
8	0	14	106.0
8	1	14	97.0
8	2	14	81.0
8	3	14	79.0
8	4	14	75.0
8	5	14	65.0
8	6	14	62.0
8	7	14	54.0
8	8	14	49.0
8	9	14	53.0
9	0	14	96.0
9	1	14	90.0
9	2	14	94.0
9	3	14	102.0
9	4	14	111.0
9	5	14	125.0
9	6	14	125.0
