Signal data for event #4698 with energy 103.71947430312626
<z>	<x>	<t>	<nph>
3	5	12	72.0
3	6	12	66.0
3	7	12	72.0
3	8	12	68.0
3	9	12	62.0
4	0	12	140.0
4	1	12	118.0
4	2	12	120.0
4	3	12	121.0
4	4	12	140.0
4	5	12	150.0
4	6	12	161.0
4	7	12	166.0
4	8	12	160.0
4	9	12	141.0
5	0	12	125.0
5	1	12	120.0
5	2	12	127.0
5	3	12	140.0
5	4	12	144.0
5	5	12	172.0
5	6	12	169.0
5	7	12	213.0
5	8	12	188.0
5	9	12	184.0
6	0	12	322.0
6	1	12	331.0
6	2	12	335.0
6	3	12	365.0
6	4	12	370.0
6	5	12	335.0
6	6	12	288.0
6	7	12	288.0
6	8	12	349.0
6	9	12	367.0
7	0	12	442.0
7	1	12	511.0
7	2	12	560.0
7	3	12	632.0
7	4	12	646.0
7	5	12	633.0
7	6	12	604.0
7	7	12	641.0
7	8	12	767.0
7	9	12	769.0
8	0	12	248.0
8	1	12	315.0
8	2	12	406.0
8	3	12	513.0
8	4	12	643.0
8	5	12	778.0
8	6	12	898.0
8	7	12	895.0
8	8	12	974.0
8	9	12	968.0
9	0	12	134.0
9	1	12	141.0
9	2	12	252.0
9	3	12	382.0
9	4	12	564.0
9	5	12	772.0
9	6	12	990.0
9	7	12	1014.0
9	8	12	985.0
9	9	12	966.0
0	0	13	21.0
0	1	13	16.0
0	2	13	13.0
0	3	13	12.0
0	6	13	5.0
0	7	13	16.0
0	8	13	16.0
0	9	13	26.0
1	0	13	37.0
1	1	13	27.0
1	2	13	20.0
1	3	13	14.0
1	4	13	8.0
1	5	13	13.0
1	6	13	21.0
1	7	13	24.0
1	8	13	22.0
1	9	13	27.0
2	0	13	57.0
2	1	13	50.0
2	2	13	46.0
2	3	13	40.0
2	4	13	41.0
2	5	13	40.0
2	6	13	39.0
2	7	13	44.0
2	8	13	36.0
2	9	13	38.0
3	0	13	54.0
3	1	13	69.0
3	2	13	61.0
3	3	13	79.0
3	4	13	80.0
3	5	13	74.0
3	6	13	76.0
3	7	13	64.0
3	8	13	76.0
3	9	13	69.0
4	0	13	93.0
4	1	13	91.0
4	2	13	86.0
4	3	13	88.0
4	4	13	104.0
4	5	13	106.0
4	6	13	82.0
4	7	13	81.0
4	8	13	88.0
4	9	13	106.0
5	0	13	277.0
5	1	13	283.0
5	2	13	271.0
5	3	13	258.0
5	4	13	249.0
5	5	13	273.0
5	6	13	281.0
5	7	13	268.0
5	8	13	229.0
5	9	13	235.0
6	0	13	323.0
6	1	13	345.0
6	2	13	351.0
6	3	13	340.0
6	4	13	340.0
6	5	13	406.0
6	6	13	461.0
6	7	13	451.0
6	8	13	395.0
6	9	13	372.0
7	0	13	256.0
7	1	13	259.0
7	2	13	265.0
7	3	13	274.0
7	4	13	268.0
7	5	13	320.0
7	6	13	351.0
7	7	13	351.0
7	8	13	357.0
7	9	13	432.0
8	0	13	359.0
8	1	13	341.0
8	2	13	292.0
8	3	13	259.0
8	4	13	232.0
8	5	13	268.0
8	6	13	268.0
8	7	13	265.0
8	8	13	284.0
8	9	13	305.0
9	0	13	456.0
9	1	13	398.0
9	2	13	280.0
9	3	13	174.0
9	4	13	227.0
9	5	13	250.0
9	6	13	255.0
9	7	13	257.0
9	8	13	188.0
9	9	13	88.0
0	0	14	4.0
0	1	14	4.0
0	2	14	4.0
0	3	14	4.0
0	4	14	18.0
0	5	14	24.0
0	6	14	22.0
0	7	14	25.0
0	8	14	20.0
0	9	14	5.0
1	0	14	20.0
1	1	14	19.0
1	2	14	20.0
1	3	14	25.0
1	4	14	32.0
1	5	14	39.0
1	6	14	38.0
1	7	14	38.0
1	8	14	34.0
1	9	14	28.0
2	0	14	27.0
2	1	14	41.0
2	2	14	40.0
2	3	14	43.0
2	4	14	38.0
2	5	14	44.0
2	6	14	53.0
2	7	14	48.0
2	8	14	54.0
2	9	14	58.0
3	0	14	60.0
3	1	14	56.0
3	2	14	81.0
3	3	14	67.0
3	4	14	49.0
3	5	14	48.0
3	6	14	49.0
3	7	14	58.0
3	8	14	56.0
