Signal data for event #13266
<Z>	<X>	<TIMESTEP>	<PHOTONS>
1	7	14	6.0
1	8	14	6.0
1	9	14	6.0
2	0	14	8.0
2	1	14	7.0
2	2	14	6.0
2	3	14	5.0
2	4	14	4.0
2	5	14	6.0
2	6	14	4.0
2	7	14	1.0
2	8	14	2.0
2	9	14	2.0
3	0	14	7.0
3	1	14	6.0
3	2	14	7.0
3	3	14	7.0
3	4	14	6.0
3	5	14	7.0
3	6	14	7.0
3	7	14	8.0
3	8	14	8.0
3	9	14	8.0
4	0	14	4.0
4	1	14	5.0
4	2	14	7.0
4	3	14	7.0
4	4	14	7.0
4	5	14	7.0
4	6	14	7.0
4	7	14	10.0
4	8	14	10.0
4	9	14	11.0
5	0	14	1.0
5	1	14	1.0
5	2	14	20.0
5	3	14	30.0
5	4	14	35.0
5	5	14	42.0
5	6	14	47.0
5	7	14	40.0
5	8	14	33.0
5	9	14	45.0
6	0	14	19.0
6	1	14	32.0
6	2	14	43.0
6	3	14	55.0
6	4	14	74.0
6	5	14	93.0
6	6	14	104.0
6	7	14	104.0
6	8	14	92.0
6	9	14	75.0
7	0	14	10.0
7	1	14	12.0
7	2	14	31.0
7	3	14	36.0
7	4	14	43.0
7	5	14	39.0
7	6	14	44.0
7	7	14	36.0
7	8	14	40.0
7	9	14	47.0
8	0	14	5.0
8	1	14	9.0
8	2	14	9.0
8	3	14	11.0
8	4	14	15.0
8	5	14	14.0
8	6	14	14.0
8	7	14	13.0
8	8	14	13.0
8	9	14	12.0
9	0	14	5.0
9	1	14	7.0
9	2	14	7.0
9	3	14	12.0
9	4	14	18.0
9	5	14	17.0
9	6	14	16.0
9	7	14	14.0
9	8	14	12.0
9	9	14	13.0
0	0	15	4.0
0	1	15	5.0
0	2	15	6.0
0	3	15	5.0
0	4	15	4.0
0	5	15	4.0
0	6	15	3.0
0	7	15	2.0
0	8	15	1.0
1	0	15	4.0
1	1	15	4.0
1	2	15	3.0
1	3	15	3.0
1	4	15	4.0
1	5	15	4.0
1	6	15	4.0
1	7	15	4.0
1	8	15	4.0
1	9	15	3.0
2	3	15	1.0
2	4	15	2.0
2	5	15	2.0
2	6	15	2.0
2	7	15	3.0
2	8	15	4.0
2	9	15	5.0
3	3	15	1.0
3	4	15	2.0
3	5	15	2.0
3	6	15	2.0
3	7	15	2.0
3	8	15	2.0
3	9	15	1.0
4	1	15	3.0
4	2	15	6.0
4	3	15	8.0
4	4	15	9.0
4	5	15	9.0
4	6	15	9.0
4	7	15	9.0
4	8	15	7.0
4	9	15	8.0
5	0	15	20.0
5	1	15	22.0
5	2	15	5.0
5	3	15	3.0
5	4	15	2.0
5	5	15	5.0
5	6	15	7.0
5	7	15	11.0
5	8	15	18.0
5	9	15	7.0
6	0	15	13.0
6	1	15	14.0
6	2	15	15.0
6	3	15	14.0
6	4	15	17.0
6	5	15	21.0
6	6	15	24.0
6	7	15	21.0
6	8	15	23.0
6	9	15	27.0
7	0	15	30.0
7	1	15	35.0
7	2	15	20.0
7	3	15	57.0
7	4	15	93.0
7	5	15	105.0
7	6	15	113.0
7	7	15	125.0
7	8	15	132.0
7	9	15	122.0
8	0	15	62.0
8	1	15	100.0
8	2	15	109.0
8	3	15	153.0
8	4	15	195.0
8	5	15	202.0
8	6	15	214.0
8	7	15	220.0
8	8	15	224.0
8	9	15	228.0
9	0	15	177.0
9	1	15	182.0
9	2	15	194.0
9	3	15	206.0
9	4	15	213.0
9	5	15	222.0
9	6	15	232.0
9	7	15	238.0
9	8	15	247.0
9	9	15	248.0
0	6	16	1.0
0	7	16	1.0
0	8	16	2.0
0	9	16	3.0
1	2	16	1.0
1	3	16	2.0
1	4	16	1.0
1	8	16	1.0
1	9	16	3.0
2	0	16	1.0
2	1	16	1.0
2	2	16	2.0
2	3	16	2.0
2	4	16	2.0
2	5	16	2.0
2	6	16	2.0
2	7	16	1.0
2	8	16	1.0
2	9	16	1.0
3	8	16	1.0
3	9	16	3.0
4	0	16	2.0
4	1	16	4.0
4	2	16	4.0
4	3	16	5.0
4	4	16	6.0
4	5	16	6.0
4	6	16	6.0
4	7	16	6.0
4	8	16	7.0
4	9	16	9.0
5	0	16	13.0
5	1	16	14.0
5	2	16	24.0
5	3	16	46.0
5	4	16	57.0
5	5	16	57.0
5	6	16	63.0
5	7	16	63.0
5	8	16	61.0
5	9	16	61.0
6	0	16	125.0
6	1	16	118.0
6	2	16	106.0
6	3	16	104.0
6	4	16	114.0
6	5	16	120.0
6	6	16	120.0
6	7	16	120.0
6	8	16	123.0
6	9	16	123.0
7	0	16	241.0
7	1	16	245.0
7	2	16	222.0
7	3	16	165.0
7	4	16	121.0
7	5	16	101.0
7	6	16	79.0
7	7	16	78.0
7	8	16	77.0
7	9	16	75.0
8	0	16	244.0
8	1	16	211.0
8	2	16	206.0
